,ID,Phase,Mode,Runtime,Elapsed_Time
0,4a6888e1-9e74-4086-b500-4887217270ae,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|23|17|25|14|13|18|15|19|21|20|24,fast,0.682,0.682
1,eb8aa4d5-ad40-43a4-881f-88b48746e2ac,0|1|2|3|4|5|6|7|8|9|10|11|12|24|19|18|14|16|22|23|17|15|20|25|21|13,fast,0.687,0.687
2,ce25c40f-ea2e-43aa-8c1c-c7f26fbfb2a5,0|1|2|3|4|5|6|7|8|9|10|11|12|25|23|20|13|24|17|19|15|21|16|14|18|22,fast,0.706,0.706
3,8752c5b8-937b-4ddf-a7d3-a780853b0a4c,0|1|2|3|4|5|6|7|8|9|10|11|12|16|21|14|18|20|17|19|25|23|24|13|22|15,fast,0.725,0.725
4,c8c6c3ca-581b-468b-a04b-347486518424,0|1|2|3|4|5|6|7|8|9|10|11|12|25|16|19|14|13|15|24|20|22|21|23|18|17,fast,0.693,0.693
5,43ba7404-1c01-41bf-a7a1-3344b46efbee,0|1|2|3|4|5|6|7|8|9|10|11|12|25|18|20|17|24|14|15|23|19|21|13|22|16,fast,0.683,0.683
6,832a6d43-38a8-4055-b78a-58ce738e7d98,0|1|2|3|4|5|6|7|8|9|10|11|12|15|19|25|17|16|14|21|23|20|22|24|18|13,fast,0.705,0.705
7,3b354022-69eb-4f0b-927e-73090888304a,0|1|2|3|4|5|6|7|8|9|10|11|12|16|21|18|22|19|24|13|14|23|15|17|20|25,fast,0.686,0.686
8,d9d510a8-4214-4930-ad2c-7272c4787cf2,0|1|2|3|4|5|6|7|8|9|10|11|12|19|25|20|17|22|14|16|21|13|15|23|18|24,fast,0.669,0.669
9,4b7ac662-988c-4880-91d8-0417e5d90eea,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|22|20|21|15|24|25|23|18|13|16|14,fast,0.688,0.688
10,73637ec2-1f62-4e17-b0c4-1c0d5d044ef6,0|1|2|3|4|5|6|7|8|9|10|11|12|22|23|17|15|21|20|13|16|18|25|14|24|19,fast,0.67,0.67
11,7e1dbd4d-737e-4849-92ba-64fa9e6e3157,0|1|2|3|4|5|6|7|8|9|10|11|12|21|17|25|19|23|20|13|16|24|22|18|15|14,fast,0.754,0.754
12,30ea3312-146a-475b-826f-366b2b28f4b4,0|1|2|3|4|5|6|7|8|9|10|11|12|24|16|15|19|22|23|14|18|25|17|13|21|20,fast,0.697,0.697
13,d00af96f-3399-4284-9b43-719d75bd0ba5,0|1|2|3|4|5|6|7|8|9|10|11|12|14|19|23|20|25|13|18|15|21|16|22|24|17,fast,0.678,0.678
14,8f42a6c5-3c06-4474-9ed7-0ebddb263bca,0|1|2|3|4|5|6|7|8|9|10|11|12|21|25|13|14|18|23|15|17|19|20|22|24|16,fast,0.667,0.667
15,863bbd8c-e9bf-44e5-8145-72f5fd375f36,0|1|2|3|4|5|6|7|8|9|10|11|12|21|19|18|22|15|13|20|23|25|17|16|24|14,fast,0.682,0.682
16,448cc76b-d878-4711-900d-1121e4cacf7f,0|1|2|3|4|5|6|7|8|9|10|11|12|24|19|25|17|15|13|21|22|14|16|23|18|20,fast,0.667,0.667
17,16122fa9-f845-4a93-a778-67ef77c111e4,0|1|2|3|4|5|6|7|8|9|10|11|12|15|24|23|18|16|19|25|13|17|22|20|14|21,fast,0.671,0.671
18,9a948a82-8835-47d2-8a6a-749256671c05,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|25|22|17|15|23|16|20|18|21|24,fast,0.687,0.687
19,19f25fd6-2f24-4292-b5c8-72a93db0d279,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|18|19|22|23|20|25|13|15|17|24|21,fast,0.682,0.682
20,9e681638-aa3e-4334-9688-f8b685b5611b,0|1|2|3|4|5|6|7|8|9|10|11|12|17|21|14|18|25|24|19|16|13|20|22|15|23,fast,0.67,0.67
21,d0e9099c-b825-4dd4-94d7-ba86cc51480e,0|1|2|3|4|5|6|7|8|9|10|11|12|25|16|17|18|23|13|15|24|20|22|14|21|19,fast,0.681,0.681
22,78461bf2-fa91-41c6-8e40-93640f5fe755,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|25|17|16|18|19|14|22|23|20|15|24,fast,0.715,0.715
23,07709b5b-2197-4955-b87f-ed9ebfab8c29,0|1|2|3|4|5|6|7|8|9|10|11|12|23|21|25|15|13|24|19|16|14|17|22|20|18,fast,0.687,0.687
24,ebef2b5f-4090-4c75-a172-5fbfcd19fe45,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|16|25|13|19|24|21|23|20|15|22|17,fast,0.672,0.672
25,6058eb6b-4991-4993-b21d-3f6126164071,0|1|2|3|4|5|6|7|8|9|10|11|12|23|17|16|22|13|14|20|25|19|21|15|24|18,fast,0.69,0.69
26,b4ed78ca-8414-4495-98f3-69e53a769955,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|22|25|18|16|19|23|20|14|24|21|13,fast,0.678,0.678
27,7976b475-7c2d-435e-b913-f89823f6b902,0|1|2|3|4|5|6|7|8|9|10|11|12|13|25|20|24|15|21|17|19|23|18|22|14|16,fast,0.679,0.679
28,794a28da-6aab-491e-8e95-45d0297a387d,0|1|2|3|4|5|6|7|8|9|10|11|12|23|24|18|16|13|20|25|22|15|21|19|14|17,fast,0.681,0.681
29,d83dc0a6-90b4-411f-8d9b-6591c8d12551,0|1|2|3|4|5|6|7|8|9|10|11|12|21|22|20|18|16|23|19|25|24|13|17|14|15,fast,0.679,0.679
30,9ab3d62f-527d-4878-9d06-47cc487f7d48,0|1|2|3|4|5|6|7|8|9|10|11|12|16|20|15|13|19|21|23|24|14|18|22|25|17,fast,0.675,0.675
31,fac4935f-5940-4490-9bb1-63fa5f449f5b,0|1|2|3|4|5|6|7|8|9|10|11|12|25|19|13|17|21|18|22|16|24|15|23|20|14,fast,0.685,0.685
32,f43a8243-b6bd-46a6-839e-f401f7f2cb2e,0|1|2|3|4|5|6|7|8|9|10|11|12|19|20|25|18|23|22|13|24|16|15|14|21|17,fast,0.672,0.672
33,d3b470ad-1b7d-442f-942c-7813bfe7018c,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|19|20|16|24|25|13|18|15|22|23|21,fast,0.696,0.696
34,7cc4be6f-9d3e-4318-93a7-c9a72bbdae2f,0|1|2|3|4|5|6|7|8|9|10|11|12|14|22|17|19|20|25|13|21|23|16|18|24|15,fast,0.691,0.691
35,3c90a62a-7c45-4184-a6e6-ccc432b3d29d,0|1|2|3|4|5|6|7|8|9|10|11|12|20|21|19|22|15|17|14|24|18|25|16|23|13,fast,0.715,0.715
36,28ee178c-028a-437a-8221-a8d46629af76,0|1|2|3|4|5|6|7|8|9|10|11|12|16|18|20|21|23|17|22|19|13|14|25|15|24,fast,0.717,0.717
37,ffa10b1d-ade1-45b0-a259-92572f8aae97,0|1|2|3|4|5|6|7|8|9|10|11|12|14|21|22|25|23|16|20|19|18|24|15|13|17,fast,0.731,0.731
38,9ff07565-580d-4ef8-8136-c85857d7c513,0|1|2|3|4|5|6|7|8|9|10|11|12|25|13|23|15|18|14|16|20|17|24|19|22|21,fast,0.696,0.696
39,36517935-4710-42f5-806e-eedbe5e3e8d9,0|1|2|3|4|5|6|7|8|9|10|11|12|17|22|14|20|21|15|25|24|18|23|16|13|19,fast,0.693,0.693
40,a58cb34e-7ce7-4635-968c-c1b216162345,0|1|2|3|4|5|6|7|8|9|10|11|12|14|19|24|17|15|21|18|20|23|25|16|13|22,fast,0.715,0.715
41,b549fd14-ec43-4287-8576-7123cc77c22d,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|24|21|17|22|18|13|14|19|23|20|25,fast,0.735,0.735
42,97cbc7ad-068b-4870-a7ae-a2fe75734936,0|1|2|3|4|5|6|7|8|9|10|11|12|17|16|22|19|24|23|18|15|25|14|21|20|13,fast,0.735,0.735
43,92701414-0ba6-4be7-9d27-e53d1268c7d5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|16|20|23|25|24|14|21|17|15|22,fast,0.775,0.775
44,2de95a3c-bb34-485c-a4f5-fe0b67c45ec6,0|1|2|3|4|5|6|7|8|9|10|11|12|14|19|23|15|24|25|16|22|18|20|21|13|17,fast,0.671,0.671
45,c94c35dd-798f-458f-b25f-6aef3764f15f,0|1|2|3|4|5|6|7|8|9|10|11|12|19|16|22|23|14|18|24|13|17|21|25|15|20,fast,0.686,0.686
46,0bd58452-50ea-4284-89a3-b96bbb927d44,0|1|2|3|4|5|6|7|8|9|10|11|12|19|13|23|15|21|24|14|25|16|17|20|22|18,fast,0.713,0.713
47,5307721b-c201-4e87-a84f-d2e6ed031130,0|1|2|3|4|5|6|7|8|9|10|11|12|22|20|13|24|18|14|25|21|23|16|17|15|19,fast,0.685,0.685
48,e2eba639-009d-43d1-bdd1-48d1f02c5c7c,0|1|2|3|4|5|6|7|8|9|10|11|12|15|25|18|16|24|19|14|17|13|21|23|20|22,fast,0.758,0.758
49,631b8434-a1d3-49e3-97cd-352ecdb949cc,0|1|2|3|4|5|6|7|8|9|10|11|12|24|17|22|25|15|19|23|18|14|20|21|13|16,fast,0.695,0.695
50,5199cd4e-574a-436e-9711-b11228ce90cc,0|1|2|3|4|5|6|7|8|9|10|11|12|25|23|14|22|21|20|18|17|15|13|16|19|24,fast,0.688,0.688
51,a3a3909f-8a28-426e-bbc8-c92421c4ef6d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|24|22|21|23|15|25|19|20|16|18|17,fast,0.72,0.72
52,f47dd577-e0a9-4233-979b-7c52e7ba037e,0|1|2|3|4|5|6|7|8|9|10|11|12|21|16|17|13|25|14|18|22|20|23|19|24|15,fast,0.755,0.755
53,b067202c-9784-4011-a271-3e35d2858cd8,0|1|2|3|4|5|6|7|8|9|10|11|12|23|17|15|13|21|22|20|14|16|25|19|24|18,fast,0.682,0.682
54,2e7b9071-31f8-4d0b-bbc6-92f5f1b3bd2e,0|1|2|3|4|5|6|7|8|9|10|11|12|17|18|23|25|13|21|15|24|14|19|16|20|22,fast,0.689,0.689
55,24083db4-a831-4c39-9ae5-e797743981ea,0|1|2|3|4|5|6|7|8|9|10|11|12|15|13|21|23|25|16|14|17|22|24|19|20|18,fast,0.706,0.706
56,e26461c0-2166-4691-983f-af24af282980,0|1|2|3|4|5|6|7|8|9|10|11|12|18|25|15|13|21|19|22|14|24|20|17|23|16,fast,0.745,0.745
57,a9044a1b-1fae-4ca6-b764-1f422410c611,0|1|2|3|4|5|6|7|8|9|10|11|12|23|20|19|15|21|13|16|18|24|25|14|22|17,fast,0.699,0.699
58,cf7e3dda-f1fe-4d3c-afe3-1b485f5f99e3,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|24|14|23|22|21|20|13|19|18|17|25,fast,0.692,0.692
59,a7650a44-afa5-4746-90f6-ef42d2755b95,0|1|2|3|4|5|6|7|8|9|10|11|12|25|16|14|23|17|19|20|15|13|21|18|24|22,fast,0.736,0.736
60,b9d98c33-3450-436e-936e-3ea22907a41b,0|1|2|3|4|5|6|7|8|9|10|11|12|16|22|14|19|20|15|21|17|25|18|23|24|13,fast,0.688,0.688
61,af2602df-c03e-4041-afce-dd7b16d34f6e,0|1|2|3|4|5|6|7|8|9|10|11|12|17|18|13|19|21|24|22|14|23|25|16|20|15,fast,0.691,0.691
62,4275847f-580e-4999-8849-20df4919578b,0|1|2|3|4|5|6|7|8|9|10|11|12|25|13|21|16|17|18|15|24|14|19|20|22|23,fast,0.735,0.735
63,e4736d9c-cfec-4ac4-842b-54b998910841,0|1|2|3|4|5|6|7|8|9|10|11|12|24|13|20|15|14|22|18|19|17|21|16|25|23,fast,0.697,0.697
64,c853d83f-c164-4023-bbae-ff91a5e40141,0|1|2|3|4|5|6|7|8|9|10|11|12|22|18|21|14|16|19|23|20|24|25|13|17|15,fast,0.708,0.708
65,2dd37050-c5d0-47f9-997c-49cbf02dfa89,0|1|2|3|4|5|6|7|8|9|10|11|12|23|25|16|14|20|22|21|15|13|19|17|18|24,fast,0.691,0.691
66,33ab8201-f7c3-4a68-8e51-7d8cb4b73d0d,0|1|2|3|4|5|6|7|8|9|10|11|12|22|23|18|25|16|24|20|13|17|15|21|19|14,fast,0.68,0.68
67,5e362351-62e5-40b8-8e59-2573c680d403,0|1|2|3|4|5|6|7|8|9|10|11|12|15|14|16|21|18|23|20|25|19|13|17|24|22,fast,0.684,0.684
68,a510846d-cfdd-4c85-9b2d-d6152c5956fb,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|20|21|19|22|16|23|13|17|24|25|15,fast,0.69,0.69
69,cb2a4712-0170-427f-8d49-5b00328abe19,0|1|2|3|4|5|6|7|8|9|10|11|12|21|16|23|25|22|13|24|18|14|20|17|15|19,fast,0.702,0.702
