,ID,Phase,Mode,Runtime,Elapsed_Time
0,07aca58e-4826-4578-a2ca-53ca0e0e1016,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|20|18|14|15|21|17|16,fast,0.665,0.665
1,dffd6f46-c2e5-4a70-b030-7ec039468333,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|16|20|22|14|19|17|15,fast,0.713,0.713
2,ced92dbf-6d9a-4ac4-819e-8fb12e8cb544,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|19|14|16|17|15|20|18,fast,0.687,0.687
3,b8a84536-9f42-4dd0-9433-027d4b7b904d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|20|17|15|16|21|14|18,fast,0.765,0.765
4,a2c0a95d-2267-49a6-86ee-c3c0dfc49eaf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|21|18|22|16|20|14|17,fast,0.695,0.695
5,98186b42-9d3c-41e9-b2a6-54c0c65342de,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|21|20|19|15|18|16|14,fast,0.718,0.718
6,ef260134-fa33-4750-818e-b6a175c7374a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|17|21|20|14|15|22|19,fast,0.748,0.748
7,a832a104-5283-471f-b9cb-9a068c486f67,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|14|18|15|19|21|16|17,fast,0.769,0.769
8,015137b5-294f-405d-95dc-dd0d30f3f18b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|15|16|19|14|18|22|21,fast,0.708,0.708
9,67144fd2-a83d-4e87-84d8-3883b4cb2dde,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|16|19|21|17|14|22|15,fast,0.698,0.698
10,8338e260-645c-4be4-872b-0bdcdfaf2f93,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|20|18|17|22|19|16|14,fast,0.685,0.685
11,5dc8458a-41c9-47bd-9b29-f96d3146f9e0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|17|19|16|18|22|20|21,fast,0.677,0.677
12,5591906d-5320-4700-8b65-aa7da77b28f9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|14|17|15|18|16|22|21,fast,0.667,0.667
13,96ed0f55-169d-49d9-a53c-7ae2c66bd01d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|16|20|19|21|15|18|17,fast,0.685,0.685
14,f8b5338b-fb21-4951-bf81-e93f887f5c70,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|21|20|22|16|15|14,fast,0.682,0.682
15,3a761210-ba3e-4b24-ad33-40865fdc366d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|15|14|19|20|18|21|22,fast,0.681,0.681
16,1b9dbe47-8e5e-4511-9932-2e9d0b279a50,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|16|14|20|19|18|17|15,fast,0.676,0.676
17,48bed333-ed2d-4d71-921f-e7facd0dc8d9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|17|20|16|19|21|18|15,fast,0.68,0.68
18,7012cce6-4669-4ae9-b2ff-bba3f8cb1d19,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|14|22|18|15|16|17|20,fast,0.676,0.676
19,8f205da9-2927-4099-b50a-c0f854d7e1bb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|17|15|14|18|16|20|21,fast,0.675,0.675
20,8dc2c6a0-3b8c-43c7-9b0d-e495fa8ce0f7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|14|18|15|22|19|21|17,fast,0.671,0.671
21,68b40fee-4982-4772-acd8-28096ec63770,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|21|17|22|19|15|14|16,fast,0.683,0.683
22,5f40387d-81f5-46e1-92cf-11e02c616bfb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|20|14|17|22|21|15|16,fast,0.689,0.689
23,23bf4f36-7222-452b-8e85-bcb27990065c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|17|21|16|15|14|18|22,fast,0.709,0.709
