,ID,Phase,Mode,Runtime,Elapsed_Time
0,ea11d24c-5900-4c98-8afb-472847fc621f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|23|17|14|20|22|15|19|16|18|,fast,0.146,0.146
1,33aa0986-c324-4f24-a0cb-c123284f1683,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|23|16|22|15|21|19|18|20|,fast,0.147,0.147
2,3c075e87-08be-4120-9143-42b7916806f3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|23|15|17|16|21|14|18|22|,fast,0.146,0.146
3,01027122-d385-4c6f-a788-a70621c75dbb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|16|19|21|23|14|15|22|18|,fast,0.147,0.147
4,9a58ba69-8696-4498-8a92-b9c903b11a26,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|22|17|21|16|18|15|23|19|,fast,0.149,0.149
5,5d409925-94c3-4e7d-a60b-66c361e7f1df,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|14|19|15|18|16|21|23|17|,fast,0.148,0.148
6,b0977ed9-e88b-4d62-b390-03c4657d8f9a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|23|19|21|14|20|17|18|15|16|,fast,0.147,0.147
7,4d6acde9-6966-4c83-ab95-67bd6040f49d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|22|21|15|23|20|14|16|19|,fast,0.147,0.147
8,f7310659-db09-40d3-b50d-dbcc4519e6aa,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|17|23|22|16|14|19|18|20|,fast,0.147,0.147
9,e81bd5c1-1a97-4ad7-b66c-fe640b75e9b3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|20|23|22|14|21|17|16|18|,fast,0.148,0.148
10,85ec15c7-3b4c-40ec-bc4b-df122fc6b98c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|23|19|18|22|15|16|14|20|,fast,0.146,0.146
11,9f015530-bb9e-422d-836b-92efbb9e68b1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|23|16|15|20|18|19|17|14|21|,fast,0.147,0.147
12,4bfabb83-94ae-4a32-87a3-d0c520009bb5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|23|16|21|14|18|20|15|17|22|,fast,0.146,0.146
13,b9f90bb4-8b3b-4413-a225-12dcd3b02e7d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|20|18|16|15|17|23|22|19|,fast,0.148,0.148
14,322b8536-7f9b-44a7-9169-1ad45eb3f13e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|18|14|15|23|21|20|19|16|,fast,0.146,0.146
15,7155333d-def7-4c64-85de-64f7b7595ef3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|14|22|19|17|15|16|23|20|,fast,0.147,0.147
16,007572ce-2242-4a0b-acf0-8f1f6fb9c6f2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|21|22|20|15|14|16|23|17|,fast,0.146,0.146
17,839cbd12-5a48-4390-8cce-9870c026ad5a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|16|22|23|15|17|18|21|19|,fast,0.145,0.145
18,22b2aeee-aaa4-4504-8c5f-a47550df7e8a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|17|18|14|21|19|22|15|16|,fast,0.146,0.146
19,fd836ce4-a3b1-4ad4-8221-afd1b206d82a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|16|15|19|14|20|18|22|23|,fast,0.15,0.15
20,27e0ff2b-4404-43b7-8da4-c0cd9f47b09f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|17|22|14|15|16|21|19|18|,fast,0.146,0.146
21,6fdfc1e7-7a47-498c-920f-684f887c92b1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|21|16|20|19|18|14|17|23|,fast,0.145,0.145
22,81748650-5c61-47ae-93fe-f16d84cc5783,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|21|17|18|20|14|16|22|15|,fast,0.147,0.147
23,6ab4eb40-8324-4c76-9a62-2b9f3466e5e7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|23|21|16|20|18|22|17|15|14|,fast,0.147,0.147
24,5b801567-b8ab-48c7-a6cc-d0d64397a26e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|19|17|21|22|14|23|20|18|,fast,0.146,0.146
25,8e4923a0-e235-422a-9199-2241b2265bf1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|14|15|23|22|19|21|16|17|,fast,0.146,0.146
26,20d26851-0860-4e26-9fd8-437c8f46b9bb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|20|18|22|17|16|21|15|19|14|,fast,0.146,0.146
27,79b4d4ef-9173-4aaa-bc4f-c56f5fc72f9e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|16|19|15|14|22|23|18|17|,fast,0.147,0.147
28,a3256abc-72d7-4c79-a5c2-c39c99945067,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|21|15|18|14|23|22|20|17|,fast,0.146,0.146
29,df54d8e2-112e-4c16-bdd5-3edee32c7814,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|18|19|23|14|21|17|15|20|,fast,0.145,0.145
30,e2c9d75d-f954-4e9c-b02b-ae9122825d41,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|17|19|15|14|16|18|22|20|21|,fast,0.147,0.147
31,6576677a-e0a7-4075-8623-035f63e99e39,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|14|19|23|16|17|15|18|22|,fast,0.146,0.146
32,7b8cfdbc-6fdf-48ba-a52d-b2cacc7d40f5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|22|15|19|23|17|16|14|18|,fast,0.146,0.146
33,5712d855-4079-40ef-9f8d-be9af900b795,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|23|19|21|18|17|15|14|16|,fast,0.145,0.145
34,ba3607a2-7cae-4866-8ef4-6a5e270dd353,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|23|17|22|16|18|14|20|19|15|,fast,0.146,0.146
35,9b597384-014d-479b-8625-7f82fbbf7871,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|21|17|16|18|23|22|20|15|,fast,0.145,0.145
36,6191be46-df69-429a-b983-ff5921ff8b43,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|17|22|21|18|19|15|16|23|,fast,0.147,0.147
37,9c743163-d6ca-419a-b476-9f9c2d7f0a97,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|22|18|16|21|17|14|23|15|,fast,0.146,0.146
38,eed9ff75-d961-4457-9d85-44c9ce945aac,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|20|22|18|14|19|16|23|15|,fast,0.146,0.146
39,b7fc9810-8def-480e-8f3d-264b91ed4f20,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|23|17|22|14|21|20|16|18|15|,fast,0.147,0.147
40,466690be-15e6-4947-a71a-52000fae824a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|21|19|15|20|23|22|16|18|,fast,0.146,0.146
41,946c326d-0e39-41c9-aeda-550deb99c172,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|15|23|20|19|22|21|17|18|,fast,0.147,0.147
42,64588502-50c9-4923-ab96-ca239a03f797,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|20|15|17|14|23|21|19|22|,fast,0.146,0.146
43,d70249c7-195d-4619-9a2e-acbe6a0adc30,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|22|19|18|23|14|20|21|16|,fast,0.146,0.146
44,c8f6261e-b8f8-4509-aebf-f134c611e65b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|15|14|18|16|22|17|23|21|,fast,0.146,0.146
