,ID,Phase,Mode,Runtime,Elapsed_Time
0,e5d1aff5-1e68-41c0-ad62-08ed20d22aca,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|17|24|21|13|20|25|14|19|23|18|15,fast,0.155,0.155
1,37ed4678-3a03-4a7c-a9f7-9fc73eebeb65,0|1|2|3|4|5|6|7|8|9|10|11|12|17|21|20|14|18|24|13|15|16|23|22|25|19,fast,0.152,0.152
2,c9199990-f441-4300-9262-795691ee1484,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|14|23|24|16|20|17|15|22|25|18,fast,0.153,0.153
3,dbc4a883-c54c-415c-871f-f14e057b5ff4,0|1|2|3|4|5|6|7|8|9|10|11|12|25|23|16|14|24|17|15|13|20|18|22|21|19,fast,0.151,0.151
4,776c0ecb-c4b0-4f92-8d3c-3a9a1865409b,0|1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|18|19|21|13|16|15|14|25|22|17,fast,0.151,0.151
5,844cafb0-b609-4b3d-b19a-1704d74df435,0|1|2|3|4|5|6|7|8|9|10|11|12|18|23|17|19|22|16|25|24|15|21|13|20|14,fast,0.152,0.152
6,1e163d9f-84e3-4f2d-9937-b19a5783a1d0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|17|19|18|23|22|24|16|25|14|21,fast,0.154,0.154
7,6e332f1e-3080-47a3-830d-f0a4b3d41237,0|1|2|3|4|5|6|7|8|9|10|11|12|15|24|13|23|19|16|20|21|22|14|17|18|25,fast,0.153,0.153
8,35408b48-0bc7-484e-ac87-67b4d70abfcc,0|1|2|3|4|5|6|7|8|9|10|11|12|23|17|18|24|21|20|16|22|19|25|14|15|13,fast,0.154,0.154
9,d9fd0807-0b8e-4195-a503-e1147b3676af,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|20|21|19|15|24|25|14|17|16|22|18,fast,0.153,0.153
10,2220c224-f725-407c-88e9-95c8261a710b,0|1|2|3|4|5|6|7|8|9|10|11|12|17|13|19|23|14|24|25|18|21|16|20|15|22,fast,0.153,0.153
11,f271e91a-7a04-4e7f-8b56-43c03c8fc255,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|23|20|21|22|18|17|14|25|16|24|13,fast,0.153,0.153
12,54a1cb64-0578-4177-88ca-ae1226941277,0|1|2|3|4|5|6|7|8|9|10|11|12|24|21|14|18|15|23|22|20|13|25|17|16|19,fast,0.155,0.155
13,32650b1d-0231-4a14-88e8-b9fdca869dd5,0|1|2|3|4|5|6|7|8|9|10|11|12|19|18|22|21|14|15|24|20|25|16|17|23|13,fast,0.153,0.153
14,322f9c76-c112-4bfc-8d23-960adb7c3333,0|1|2|3|4|5|6|7|8|9|10|11|12|23|15|13|25|19|16|20|14|21|18|17|22|24,fast,0.154,0.154
15,fa4f0c7f-3bc9-4fd7-b6bc-44fbf39a11ab,0|1|2|3|4|5|6|7|8|9|10|11|12|20|15|19|24|16|23|22|14|13|21|25|18|17,fast,0.154,0.154
16,84e9dd39-9eeb-4b61-85b9-0d035c258214,0|1|2|3|4|5|6|7|8|9|10|11|12|21|19|15|24|16|22|20|23|14|18|17|25|13,fast,0.153,0.153
17,0ededf6a-0600-49fe-a24b-6cce1a32ff77,0|1|2|3|4|5|6|7|8|9|10|11|12|14|25|20|15|16|19|22|13|17|18|21|24|23,fast,0.151,0.151
18,058b28b5-daa0-49a0-b753-180466004b09,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|23|20|13|19|24|21|22|18|17|25|14,fast,0.152,0.152
19,80554f9f-78e4-4023-87f6-7237168ec985,0|1|2|3|4|5|6|7|8|9|10|11|12|24|19|23|17|21|15|20|16|18|14|22|25|13,fast,0.152,0.152
20,4bc470e8-08ef-4a56-8b03-ea1364f52fef,0|1|2|3|4|5|6|7|8|9|10|11|12|21|17|23|24|18|16|19|14|13|25|20|22|15,fast,0.154,0.154
21,dd2672cc-c5b9-4f9a-84e4-19fb7c71a84e,0|1|2|3|4|5|6|7|8|9|10|11|12|24|15|20|23|19|18|13|21|22|14|16|17|25,fast,0.152,0.152
22,a985bd49-4fc8-49dc-9068-179647afdae2,0|1|2|3|4|5|6|7|8|9|10|11|12|20|18|19|23|15|16|21|25|17|22|13|24|14,fast,0.152,0.152
23,c4f3c508-1a11-4fc7-9f6e-8375f5d2ed57,0|1|2|3|4|5|6|7|8|9|10|11|12|15|20|22|19|16|25|13|14|21|18|17|23|24,fast,0.153,0.153
24,4e165e52-2f31-4ee0-bd9d-051b3eb56804,0|1|2|3|4|5|6|7|8|9|10|11|12|17|24|13|18|22|20|19|23|14|21|16|15|25,fast,0.153,0.153
25,38317e32-eae0-40e1-b8f3-adc5fb30b083,0|1|2|3|4|5|6|7|8|9|10|11|12|22|20|25|24|16|19|15|23|17|21|14|13|18,fast,0.153,0.153
26,f07b46c5-157f-4c92-92a7-7235c9ca42e5,0|1|2|3|4|5|6|7|8|9|10|11|12|25|20|18|17|21|23|22|19|13|14|24|16|15,fast,0.152,0.152
27,e8a57b4c-3b3a-4cc8-ad51-b37f3adcf916,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|14|13|22|25|23|24|16|20|15|18|21,fast,0.152,0.152
28,794e4889-f390-4f73-a6c7-1d38249e46ea,0|1|2|3|4|5|6|7|8|9|10|11|12|25|21|13|18|19|17|20|14|23|24|22|15|16,fast,0.153,0.153
29,2f824adb-f308-4e07-ab82-9033bfbb3d7a,0|1|2|3|4|5|6|7|8|9|10|11|12|21|25|24|19|17|23|18|15|20|16|22|14|13,fast,0.152,0.152
30,5c827fa1-cf58-48ca-8cf9-98a13d717e0e,0|1|2|3|4|5|6|7|8|9|10|11|12|24|25|13|15|23|14|19|22|20|21|17|16|18,fast,0.155,0.155
31,5221df9c-b9a3-4ab4-8d22-a001037bf328,0|1|2|3|4|5|6|7|8|9|10|11|12|20|21|24|19|14|25|16|15|23|17|13|22|18,fast,0.151,0.151
32,29cdb769-4c09-4f75-8d1e-82b0b2e7e16f,0|1|2|3|4|5|6|7|8|9|10|11|12|18|23|19|13|17|21|25|15|16|22|20|14|24,fast,0.152,0.152
33,cdc9094e-0c2a-442a-b3c3-9d4117a60f1c,0|1|2|3|4|5|6|7|8|9|10|11|12|25|23|13|24|16|14|21|20|19|15|18|17|22,fast,0.151,0.151
34,1f1b16d0-6844-4717-9b77-3c331a1cc0c3,0|1|2|3|4|5|6|7|8|9|10|11|12|21|19|15|14|23|22|18|24|16|25|17|20|13,fast,0.152,0.152
35,958c44db-4448-4000-bd6e-e72e2b2139c3,0|1|2|3|4|5|6|7|8|9|10|11|12|16|17|23|22|13|14|20|21|24|15|19|18|25,fast,0.155,0.155
36,a24616a7-0fce-44f2-9153-374678ba13ff,0|1|2|3|4|5|6|7|8|9|10|11|12|20|23|15|21|24|13|25|14|16|19|22|17|18,fast,0.155,0.155
37,9851e533-13e9-4c09-bf7d-131e1f1b4613,0|1|2|3|4|5|6|7|8|9|10|11|12|23|17|16|19|22|14|15|25|21|13|24|20|18,fast,0.152,0.152
38,1463eaa5-0b6b-4ad3-b1b5-021ec0113f7c,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|20|21|16|17|19|25|23|22|13|15|24,fast,0.153,0.153
39,675e44d4-5777-45d6-b65e-5d58dcb0a9d4,0|1|2|3|4|5|6|7|8|9|10|11|12|24|16|19|23|21|22|25|18|17|13|14|20|15,fast,0.152,0.152
40,54bfc598-8052-4a56-91cf-7a8975bd485e,0|1|2|3|4|5|6|7|8|9|10|11|12|16|23|19|13|22|25|21|14|15|24|18|20|17,fast,0.155,0.155
41,79d3e70e-3678-433a-8db6-6ca0ceb3b629,0|1|2|3|4|5|6|7|8|9|10|11|12|22|13|16|25|20|17|23|19|24|21|18|15|14,fast,0.154,0.154
42,71b5e1ba-2513-4d9d-bbc7-dad0b9f61d5f,0|1|2|3|4|5|6|7|8|9|10|11|12|20|16|15|23|21|17|19|14|13|22|24|25|18,fast,0.153,0.153
43,284d4f70-c10e-4513-aaba-1083360ff79a,0|1|2|3|4|5|6|7|8|9|10|11|12|25|16|17|18|22|24|15|20|19|14|23|21|13,fast,0.153,0.153
44,b4f09214-019c-4934-9237-d9f8c0a219e4,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|19|23|25|17|20|15|22|18|24|14|16,fast,0.153,0.153
45,a71e4f1c-d707-459b-84d3-de93814fe2dd,0|1|2|3|4|5|6|7|8|9|10|11|12|19|13|17|18|16|15|23|21|24|25|22|14|20,fast,0.153,0.153
46,7c18cc23-1c4d-4a04-881e-c75f59ae5ab4,0|1|2|3|4|5|6|7|8|9|10|11|12|20|22|13|16|17|14|15|19|25|18|23|21|24,fast,0.152,0.152
47,e8b90bdd-5673-4d61-9af1-052364f22464,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|14|23|13|21|18|16|25|22|20|24|17,fast,0.153,0.153
48,ea2a53d4-ed9c-44a4-a6d6-a9fdc19adf8c,0|1|2|3|4|5|6|7|8|9|10|11|12|17|21|15|19|25|22|20|24|14|18|16|13|23,fast,0.154,0.154
49,03281567-14e1-4d8b-8451-62c6a24f3a62,0|1|2|3|4|5|6|7|8|9|10|11|12|15|22|17|18|23|16|25|21|14|13|19|20|24,fast,0.152,0.152
50,3d9b9933-fa1f-4031-b1f0-c9d625d99465,0|1|2|3|4|5|6|7|8|9|10|11|12|23|24|13|16|18|14|19|20|15|21|25|17|22,fast,0.154,0.154
51,78f8a3c2-d5bd-4339-9878-49ab902118da,0|1|2|3|4|5|6|7|8|9|10|11|12|19|13|21|17|24|14|23|16|25|15|20|18|22,fast,0.153,0.153
52,38ff211f-428a-455d-b7a0-7cc57ab09064,0|1|2|3|4|5|6|7|8|9|10|11|12|20|22|16|15|25|23|24|21|14|18|13|19|17,fast,0.154,0.154
53,5857ef47-8398-426f-b60d-2b3e42d9d008,0|1|2|3|4|5|6|7|8|9|10|11|12|24|15|18|21|25|16|22|14|13|20|23|17|19,fast,0.155,0.155
54,238d3ae2-e25d-418e-acc9-05bf495f5b5d,0|1|2|3|4|5|6|7|8|9|10|11|12|22|20|21|25|15|14|18|19|24|17|13|23|16,fast,0.155,0.155
55,6c7d97d9-3e26-4a50-949a-b4d01dd997be,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|23|20|13|22|15|17|25|21|19|24|16,fast,0.153,0.153
56,743774a8-55ff-4e3f-9935-7e34ceb798c6,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|14|23|18|16|22|24|25|20|13|17|21,fast,0.155,0.155
57,85e011dc-488c-47e0-a495-8000388cf2b2,0|1|2|3|4|5|6|7|8|9|10|11|12|16|13|20|19|14|24|18|23|21|15|25|22|17,fast,0.152,0.152
58,92338bd3-efa9-4525-8415-a199c79b9214,0|1|2|3|4|5|6|7|8|9|10|11|12|14|22|18|20|17|19|24|25|21|13|23|15|16,fast,0.153,0.153
